title,price,rating,reviews,availability
"boAt Newly Launched Rockerz Trinity in Ear Earphones with 150H Playtime, Crystal Bionic Sound Powered by HiFi, Signature Sound, Beast™ Mode, ENx™ Tech, ASAP™ Charge,IPX5,Dual Pairing(Cosmic Black)","₹1,499.00",Previous page,,In stock
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),₹399.00,4.1 out of 5 stars,"372,634 ratings",In stock
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)",₹149.00,3.5 out of 5 stars,"23,399 ratings",In stock
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Magico Black)","₹1,999.00",4.2 out of 5 stars,"85,716 ratings",In stock
"boAt BassHeads 122 Wired in Ear Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)",₹399.00,4.0 out of 5 stars,502 ratings,In stock
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),₹399.00,4.1 out of 5 stars,"372,634 ratings",In stock
QCY T17 |TWS| Environmental Noise Cancellation (ENC) | Playback Up to 26hr | Low Latency | AAC HD Audio Codec | IPX5 | 3D Sound | Voice Assistant | Touch Control |Globally Leading Brand | Blue,"₹1,699.00",4.3 out of 5 stars,844 ratings,In stock
"truke Newly Launched BTG Beta True Wireless in Ear Earbuds with 13mm Big Speaker Drivers,38H Playtime,Fast Charging,True Gaming Mode,Instant Pairing,AAC Codec,Dual-Mic ENC,Bluetooth 5.3, IPX4Â(White)","₹1,099.00",4.1 out of 5 stars,405 ratings,In stock
"truke Buds BTG 1 Bluetooth Truly Wireless Gaming in Ear Earbuds with (ENC) & Quad MEMS Mic for Clear Calls, 13mm Titanium Driver, 48H Playtime, Fast Charging, True Gaming Mode, AAC Codec, IPX4","₹1,099.00",4.0 out of 5 stars,"1,366 ratings",In stock
"Wecool Moonwalk M1 ENC True Wireless in Ear Earbuds with Mic, Titanium Drivers for Rich Bass Experience, 40+ Hours Play Time, Type C Fast Charging, Low Latency, BT 5.3, IPX5, Deep Bass (Black)",₹799.00,4.1 out of 5 stars,"2,586 ratings",In stock
Shure SRH240A Bluetooth Wired Over Ear Headphone Without Mic (Black),"₹6,499.00",4.5 out of 5 stars,352 ratings,
"Redgear Cosmo 7,1 USB Gaming Wired Over Ear Headphones with Mic with Virtual Surround Sound,50Mm Driver, RGB LEDs & Remote Control(White)","₹1,999.00",4.3 out of 5 stars,"14,504 ratings",In stock
Cosmic Byte Over the Ear Headsets with Mic & LED - G2000 Edition (Black/Blue) Rubberized Texture,₹996.00,3.9 out of 5 stars,"1,266 ratings",In stock
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","₹1,399.00",4.1 out of 5 stars,"109,550 ratings",In stock
"ZEBRONICS Zeb-Thunder Wireless Over Ear BT Headphone Comes with mic, 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card(Sea Green)",₹949.00,3.8 out of 5 stars,"61,473 ratings",In stock
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),₹399.00,4.1 out of 5 stars,"372,634 ratings",In stock
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",₹149.00,3.5 out of 5 stars,"23,399 ratings",In stock
boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),₹499.00,4.1 out of 5 stars,"92,817 ratings",In stock
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),₹449.00,4.0 out of 5 stars,"27,446 ratings",In stock
"pTron Tangent Evo, 14Hrs Playback, Bluetooth 5.0 Earphones, In-Ear Headphones with Mic, Deep Bass, Clear Calls, IPX4 Water Resistant Neckband, Voice Assistance, Magnetic Earbuds & Fast Charging (Blue)",₹499.00,3.8 out of 5 stars,"76,000 ratings",In stock
"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast Mode for Gaming & BT v5.3(Siberian White)","₹1,488.00",3.9 out of 5 stars,"145,673 ratings",In stock
boAt Bassheads 220 Wired in Ear Earphones(Black Indi),₹699.00,3.6 out of 5 stars,76 ratings,In stock
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Acoustic Red)","₹1,999.00",4.2 out of 5 stars,"85,716 ratings",In stock
"PHILIPS Audio TAE1136 Wired in Ear Earphones with Built in Mic, 10 mm Driver, Powerful bass and Clear Sound",₹229.00,3.9 out of 5 stars,"31,717 ratings",In stock
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)",₹499.00,3.9 out of 5 stars,"94,817 ratings",In stock
"Mivi Rock and Roll E5 Wired In Ear Earphones with HD Sound and Extra Powerful Bass with Mic, Tangle Free & Extra Length Cable | Earphones for Mobile | Black",₹299.00,3.9 out of 5 stars,"8,282 ratings",In stock
realme Buds 2 Neo Wired in Ear Earphones with Mic (Black),₹499.00,4.2 out of 5 stars,"24,618 ratings",In stock
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",₹149.00,3.5 out of 5 stars,"23,399 ratings",In stock
"OnePlus Nord Wired Earphones with mic, 3.5mm Audio Jack, Enhanced bass with 9.2mm Dynamic Drivers, in-Ear Wired Earphone - Black",₹799.00,4.1 out of 5 stars,"2,121 ratings",In stock
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),₹349.00,3.9 out of 5 stars,"78,513 ratings",In stock
"boAt Airdopes Atom 81 True Wireless in Ear Earbuds with Upto 50H Playtime, Quad Mics ENx Tech, 13MM Drivers, Beast Mode(50ms Super Low Latency), ASAP Charge, BT v5.3(Opal Black)","₹1,299.00",3.7 out of 5 stars,"2,555 ratings",In stock
"boAt Newly Launched Rockerz Apex Bluetooth Wireless in Ear Earphones with Spatial Bionic Sound Powered by Dirac Virtuo™, Touch Sensors, Beast™ Mode, ENx™ Tech,30H Playtime,ASAP™ Charge(Stellar Black)","₹1,499.00",3.9 out of 5 stars,83 ratings,In stock
